Distance_microns,Time_seconds
11.200000000000001,0
11.200000000000001,40
11.3,80
11.5,120
11.600000000000001,160
11.700000000000001,200
11.8,240
11.8,280
11.700000000000001,320
11.600000000000001,360
11.600000000000001,400
11.600000000000001,440
11.600000000000001,480
11.5,520
11.4,560
11.3,600
11.200000000000001,640
11.100000000000001,680
10.9,720
10.700000000000001,760
10.600000000000001,800
10.5,840
10.4,880
10.5,920
10.600000000000001,960
10.600000000000001,1000
10.600000000000001,1040
10.600000000000001,1080
10.600000000000001,1120
10.600000000000001,1160
10.5,1200
10.4,1240
10.3,1280
10.200000000000001,1320
10.100000000000001,1360
9.9,1400
9.700000000000001,1440
9.5,1480
9.4,1520
9.4,1560
9.4,1600
9.4,1640
9.4,1680
9.4,1720
9.4,1760
9.4,1800
9.4,1840
9.3,1880
9.200000000000001,1920
9.200000000000001,1960
9.100000000000001,2000
9.0,2040
8.9,2080
8.8,2120
8.8,2160
8.8,2200
8.8,2240
8.7,2280
8.6,2320
8.5,2360
8.3,2400
8.200000000000001,2440
8.100000000000001,2480
7.9,2520
7.700000000000001,2560
7.5,2600
7.2,2640
6.9,2680
6.800000000000001,2720
6.800000000000001,2760
6.800000000000001,2800
6.9,2840
7.0,2880
7.0,2920
7.0,2960
7.0,3000
7.0,3040
7.0,3080
7.0,3120
7.0,3160
7.1,3200
7.2,3240
7.2,3280
7.300000000000001,3320
7.4,3360
7.4,3400
7.5,3440
7.6000000000000005,3480
7.6000000000000005,3520
7.6000000000000005,3560
7.6000000000000005,3600
7.6000000000000005,3640
7.6000000000000005,3680
7.6000000000000005,3720
7.6000000000000005,3760
7.6000000000000005,3800
7.6000000000000005,3840
7.6000000000000005,3880
7.6000000000000005,3920
7.6000000000000005,3960
7.6000000000000005,4000
7.6000000000000005,4040
7.6000000000000005,4080
7.6000000000000005,4120
7.5,4160
7.4,4200
7.4,4240
7.4,4280
7.4,4320
7.5,4360
7.6000000000000005,4400
7.6000000000000005,4440
7.6000000000000005,4480
7.6000000000000005,4520
7.6000000000000005,4560
7.700000000000001,4600
7.800000000000001,4640
7.800000000000001,4680
7.800000000000001,4720
7.800000000000001,4760
7.700000000000001,4800
7.6000000000000005,4840
7.6000000000000005,4880
7.6000000000000005,4920
7.6000000000000005,4960
7.6000000000000005,5000
7.6000000000000005,5040
7.6000000000000005,5080
7.6000000000000005,5120
7.6000000000000005,5160
7.6000000000000005,5200
7.6000000000000005,5240
7.6000000000000005,5280
